ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
240895_at	0.11216816	7.85e-03	5.054172		
235089_at	0.11216816	7.85e-03	5.053797	FBXL20	F-box and leucine rich repeat protein 20
238261_at	0.11216816	7.85e-03	5.053607		
223993_s_at	0.11216816	7.85e-03	5.053471	CNIH4	cornichon family AMPA receptor auxiliary protein 4
226968_at	0.11220915	7.86e-03	5.052388	KIF1B	kinesin family member 1B
239197_s_at	0.11249253	7.88e-03	5.048964	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit
243309_at	0.11272458	7.91e-03	5.04518	C15orf65	chromosome 15 open reading frame 65
233093_s_at	0.11272458	7.91e-03	5.04495	BIRC6	baculoviral IAP repeat containing 6
236999_at	0.11272458	7.93e-03	5.042912	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1
236283_x_at	0.11272458	7.94e-03	5.041504	LOC646214	p21 protein (Cdc42/Rac)-activated kinase 2 pseudogene
244490_at	0.11272458	7.94e-03	5.041211	LINC01355	long intergenic non-protein coding RNA 1355
234085_at	0.11272458	7.94e-03	5.040881	CCDC169	coiled-coil domain containing 169
226657_at	0.11272458	7.95e-03	5.040428	NATD1	N-acetyltransferase domain containing 1
222939_s_at	0.11272458	7.95e-03	5.040245	SLC16A10	solute carrier family 16 member 10
225171_at	0.11272458	7.95e-03	5.040157	ARHGAP18	Rho GTPase activating protein 18
226775_at	0.11272458	7.95e-03	5.039648	ENY2	ENY2, transcription and export complex 2 subunit
230241_at	0.11272458	7.95e-03	5.039223	TOR1AIP2	torsin 1A interacting protein 2
237255_at	0.11278714	7.96e-03	5.037913	LINC01272	long intergenic non-protein coding RNA 1272
227210_at	0.11278714	7.97e-03	5.036478	SFMBT2	Scm-like with four mbt domains 2
230894_s_at	0.11278714	7.98e-03	5.035958		
243046_at	0.11278714	7.98e-03	5.035905		
234440_at	0.11294359	8.00e-03	5.033315	TRDV3	T cell receptor delta variable 3
232109_at	0.11294359	8.00e-03	5.03264	UBXN10	UBX domain protein 10
242673_at	0.11294359	8.01e-03	5.032368		
241705_at	0.11309175	8.02e-03	5.030268	ABCA5	ATP binding cassette subfamily A member 5
235932_x_at	0.11316752	8.03e-03	5.028557	HMCN2	hemicentin 2
228609_at	0.11316752	8.04e-03	5.028189	LOC102723600///MIR1302-11///MIR1302-10///MIR1302-9///MIR1302-2	uncharacterized LOC102723600///microRNA 1302-11///microRNA 1302-10///microRNA 1302-9///microRNA 1302-2
238875_at	0.11322808	8.05e-03	5.026933		
238014_at	0.11350888	8.07e-03	5.023569	NEMP2	nuclear envelope integral membrane protein 2
226343_at	0.11354788	8.08e-03	5.022522	DPP8	dipeptidyl peptidase 8
227309_at	0.1136851	8.09e-03	5.020537	YOD1	YOD1 deubiquitinase
226967_at	0.11370238	8.10e-03	5.019545	FIZ1	FLT3 interacting zinc finger 1
232336_at	0.11370238	8.11e-03	5.018719	ZSWIM5	zinc finger SWIM-type containing 5
229664_at	0.11370238	8.11e-03	5.018067	MAPK8	mitogen-activated protein kinase 8
227185_at	0.11370238	8.12e-03	5.017527	FNDC10	fibronectin type III domain containing 10
242807_at	0.11370238	8.12e-03	5.017009	FSD1L	fibronectin type III and SPRY domain containing 1 like
228944_at	0.11418705	8.16e-03	5.01172		
225538_at	0.11428904	8.17e-03	5.01008	ZCCHC9	zinc finger CCHC-type containing 9
232058_at	0.11453791	8.19e-03	5.007048		
237745_at	0.11463511	8.21e-03	5.005458	TSC22D1-AS1	TSC22D1 antisense RNA 1
236547_at	0.11481437	8.22e-03	5.003092		
241182_at	0.11483449	8.23e-03	5.002233		
225578_at	0.11536062	8.28e-03	4.996218	MZT1	mitotic spindle organizing protein 1
228919_at	0.11536062	8.28e-03	4.995884		
223396_at	0.11536062	8.29e-03	4.994801	TMEM60	transmembrane protein 60
230561_s_at	0.11536062	8.29e-03	4.9946	KANSL1L	KAT8 regulatory NSL complex subunit 1 like
244258_at	0.11547398	8.30e-03	4.992867		
238707_at	0.11567601	8.33e-03	4.98977		
228929_at	0.11567601	8.33e-03	4.989257	DNASE1	deoxyribonuclease 1
240326_at	0.11567601	8.33e-03	4.988667		
224502_s_at	0.11567601	8.34e-03	4.987644	KIAA1191	KIAA1191
237366_at	0.11567601	8.34e-03	4.98733		
233317_at	0.11567601	8.35e-03	4.986734	CD9	CD9 molecule
227325_at	0.11567601	8.35e-03	4.986313	INAFM1	InaF motif containing 1
239292_at	0.11580567	8.37e-03	4.983869		
238026_at	0.11580567	8.37e-03	4.983424	RPL35A	ribosomal protein L35a
238795_at	0.11580567	8.39e-03	4.981832	FAM208B	family with sequence similarity 208 member B
226384_at	0.11580567	8.39e-03	4.980912	PLPP5	phospholipid phosphatase 5
240971_x_at	0.11580567	8.40e-03	4.980365		
233274_at	0.11580567	8.40e-03	4.979635		
241721_at	0.11580567	8.40e-03	4.979633		
228940_at	0.11580567	8.41e-03	4.979228	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4
228687_at	0.11580567	8.41e-03	4.978749	ZNF777	zinc finger protein 777
230714_s_at	0.11580567	8.42e-03	4.977841		
225677_at	0.11580567	8.42e-03	4.977822	BCAP29	B-cell receptor-associated protein 29
226169_at	0.11595378	8.44e-03	4.974325	SBF2	SET binding factor 2
230972_at	0.11595378	8.45e-03	4.974107	ANKRD9	ankyrin repeat domain 9
238035_at	0.11595378	8.45e-03	4.973902	SP3	Sp3 transcription factor
237462_at	0.11595378	8.45e-03	4.973801		
226608_at	0.11597043	8.46e-03	4.971757	C16orf87	chromosome 16 open reading frame 87
222622_at	0.11597043	8.47e-03	4.970923	PGP	phosphoglycolate phosphatase
222531_s_at	0.11597043	8.47e-03	4.970714	AP5M1	adaptor related protein complex 5 mu 1 subunit
224829_at	0.11597043	8.48e-03	4.970401	CPEB4	cytoplasmic polyadenylation element binding protein 4
222447_at	0.11597043	8.48e-03	4.970363	METTL9	methyltransferase like 9
243367_at	0.11598171	8.48e-03	4.969407		
231106_at	0.11598171	8.49e-03	4.968947	BMS1P6	BMS1, ribosome biogenesis factor pseudogene 6
224700_at	0.11600155	8.50e-03	4.967699	STT3B	STT3B, catalytic subunit of the oligosaccharyltransferase complex
229810_at	0.11600155	8.50e-03	4.966637	RSPH3	radial spoke 3 homolog
225515_s_at	0.11600155	8.51e-03	4.966221	RPL7L1///WAC-AS1	ribosomal protein L7 like 1///WAC antisense RNA 1 (head to head)
237464_at	0.11600155	8.51e-03	4.966118	LOC101060386///BOLA2///SMG1	putative uncharacterized SMG1-like protein///bolA family member 2///SMG1, nonsense mediated mRNA decay associated PI3K related kinase
223363_at	0.11600155	8.52e-03	4.964939	PSMG3	proteasome assembly chaperone 3
238348_x_at	0.11600155	8.52e-03	4.96484		
225993_at	0.11608218	8.53e-03	4.963434	EARS2	glutamyl-tRNA synthetase 2, mitochondrial
232946_s_at	0.11632579	8.55e-03	4.960509	NADSYN1	NAD synthetase 1
240230_s_at	0.1165982	8.58e-03	4.95732	AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9
240886_at	0.11690458	8.61e-03	4.953728	CASR	calcium sensing receptor
223075_s_at	0.11690458	8.61e-03	4.953172	AIF1L	allograft inflammatory factor 1 like
226230_at	0.11713284	8.63e-03	4.950407	PPP4R3B	protein phosphatase 4 regulatory subunit 3B
227028_s_at	0.11746966	8.66e-03	4.946643	DGCR2	DiGeorge syndrome critical region gene 2
228181_at	0.11751231	8.67e-03	4.9456	SLC30A1	solute carrier family 30 member 1
226741_at	0.11757771	8.69e-03	4.943728	SLC12A6	solute carrier family 12 member 6
230742_at	0.11757771	8.69e-03	4.943699	RBM5	RNA binding motif protein 5
228549_at	0.11773568	8.70e-03	4.941595		
222409_at	0.11783518	8.72e-03	4.940032	CORO1C	coronin 1C
239236_at	0.11817076	8.75e-03	4.936301		
229456_s_at	0.11822605	8.76e-03	4.935147	DDAH1	dimethylarginine dimethylaminohydrolase 1
235412_at	0.11825244	8.76e-03	4.934121	ARHGEF7	Rho guanine nucleotide exchange factor 7
243825_at	0.11825244	8.77e-03	4.933612	BCL6B	B-cell CLL/lymphoma 6B
228811_at	0.11825362	8.78e-03	4.932413		
AFFX-r2-Ec-bioB-3_at	0.11825362	8.78e-03	4.931843		
229358_at	0.11825362	8.78e-03	4.931666	IHH	indian hedgehog
243366_s_at	0.11852565	8.81e-03	4.92853	ITGA4	integrin subunit alpha 4
225709_at	0.11866814	8.82e-03	4.926583	ARL6IP6	ADP ribosylation factor like GTPase 6 interacting protein 6
243388_at	0.11881048	8.85e-03	4.923726		
227347_x_at	0.11881048	8.86e-03	4.922705	HES4	hes family bHLH transcription factor 4
225351_at	0.11881048	8.86e-03	4.922266	FAM45A///FAM45BP	family with sequence similarity 45 member A///family with sequence similarity 45, member A pseudogene
230144_at	0.11881048	8.86e-03	4.922017	GRIA3	glutamate ionotropic receptor AMPA type subunit 3
232722_at	0.11881048	8.87e-03	4.921302	RNASET2	ribonuclease T2
226785_at	0.11881048	8.87e-03	4.921139	ATP11C	ATPase phospholipid transporting 11C
225200_at	0.11881048	8.87e-03	4.920496	DPH3	diphthamide biosynthesis 3
242253_at	0.11881048	8.88e-03	4.920146	PPP5D1	PPP5 tetratricopeptide repeat domain containing 1
242260_at	0.11882133	8.88e-03	4.919406	MATR3	matrin 3
236493_at	0.11900608	8.90e-03	4.917082	NKAPP1	NFKB activating protein pseudogene 1
242389_at	0.11922967	8.93e-03	4.914225	LUC7L3	LUC7 like 3 pre-mRNA splicing factor
230270_at	0.11922967	8.93e-03	4.913514	PRPF38B	pre-mRNA processing factor 38B
236192_at	0.11922967	8.93e-03	4.913129	HOOK3	hook microtubule tethering protein 3
242663_at	0.11930416	8.95e-03	4.911814	LINC00662	long intergenic non-protein coding RNA 662
236700_at	0.11933842	8.95e-03	4.910865	EIF3C	eukaryotic translation initiation factor 3 subunit C
235482_at	0.11940817	8.96e-03	4.909593	PCBP1-AS1	PCBP1 antisense RNA 1
235778_s_at	0.12003944	9.02e-03	4.903241	ANKRD44	ankyrin repeat domain 44
240684_at	0.12019385	9.04e-03	4.899917		
233124_s_at	0.12019385	9.05e-03	4.899756	ECHDC1	ethylmalonyl-CoA decarboxylase 1
224647_at	0.12019385	9.05e-03	4.899323	CCNY	cyclin Y
239031_at	0.12019385	9.05e-03	4.899303	SSTR2	somatostatin receptor 2
233806_at	0.12042523	9.07e-03	4.896583		
236483_at	0.1205917	9.09e-03	4.894451		
223583_at	0.12130227	9.15e-03	4.887451	TNFAIP8L2	TNF alpha induced protein 8 like 2
242351_at	0.12139348	9.17e-03	4.88536		
239316_at	0.12139348	9.17e-03	4.885322	METTL12///SNORA57	methyltransferase like 12///small nucleolar RNA, H/ACA box 57
224057_s_at	0.12139348	9.17e-03	4.884735	THAP4	THAP domain containing 4
224962_at	0.12146199	9.18e-03	4.883491	C9orf69	chromosome 9 open reading frame 69
226965_at	0.12159446	9.20e-03	4.881248	DENND6A	DENN domain containing 6A
242356_at	0.12159446	9.21e-03	4.879833	VTI1A	vesicle transport through interaction with t-SNAREs 1A
240725_at	0.12159446	9.22e-03	4.879679		
224388_s_at	0.12159446	9.22e-03	4.879312	COL25A1	collagen type XXV alpha 1 chain
222685_at	0.12159446	9.22e-03	4.87915	HAUS6	HAUS augmin like complex subunit 6
239911_at	0.12172407	9.24e-03	4.87684	ONECUT2	one cut homeobox 2
231316_at	0.12172407	9.24e-03	4.876735		
226473_at	0.12178336	9.25e-03	4.87541	CBX2	chromobox 2
240083_at	0.12178336	9.26e-03	4.874948	SNORD112///MEG8	small nucleolar RNA, C/D box 112///maternally expressed 8 (non-protein coding)
238282_at	0.12199802	9.28e-03	4.872153		
222549_at	0.12199802	9.28e-03	4.871517	CLDN1	claudin 1
241688_at	0.12199802	9.29e-03	4.870554		
222393_s_at	0.12199802	9.30e-03	4.870165	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit
243506_at	0.12199802	9.30e-03	4.869897	AKAIN1	A kinase (PRKA) anchor inhibitor 1
228466_at	0.12256187	9.35e-03	4.864275	GABPB2	GA binding protein transcription factor beta subunit 2
226319_s_at	0.12271582	9.36e-03	4.862289	ALYREF	Aly/REF export factor
229589_x_at	0.1227652	9.37e-03	4.861226	BIVM	basic, immunoglobulin-like variable motif containing
236898_at	0.12281492	9.38e-03	4.860162		
227100_at	0.12286032	9.39e-03	4.859044	B3GLCT	beta 3-glucosyltransferase
222543_at	0.12286032	9.40e-03	4.85851	DERL1	derlin 1
223724_s_at	0.12288841	9.41e-03	4.857513	STAG3L2///STAG3L3///STAG3L1	stromal antigen 3-like 2 (pseudogene)///stromal antigen 3-like 3 (pseudogene)///stromal antigen 3-like 1 (pseudogene)
224494_x_at	0.12288841	9.41e-03	4.857013	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14
223680_at	0.12301324	9.42e-03	4.855289	ZNF607	zinc finger protein 607
236645_at	0.12324492	9.46e-03	4.851284	HBP1	HMG-box transcription factor 1
227092_at	0.12324492	9.46e-03	4.851038	LOC101927752	uncharacterized LOC101927752
235958_at	0.12324492	9.46e-03	4.850871	PLA2G4F	phospholipase A2 group IVF
225046_at	0.12324492	9.46e-03	4.850757	LOC102724951///LOC389831	uncharacterized LOC102724951///uncharacterized LOC389831
232274_at	0.1233447	9.48e-03	4.849259	CCNL2	cyclin L2
230078_at	0.1233493	9.48e-03	4.848515	RAPGEF6	Rap guanine nucleotide exchange factor 6
229560_at	0.1233493	9.49e-03	4.847974	TLR8	toll like receptor 8
225637_at	0.12338591	9.50e-03	4.847031	DEF8	differentially expressed in FDCP 8 homolog
227110_at	0.12369646	9.53e-03	4.843689	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)
223421_at	0.12385723	9.55e-03	4.841097	CYHR1	cysteine and histidine rich 1
232836_at	0.12385723	9.55e-03	4.841041	LINC00687	long intergenic non-protein coding RNA 687
244777_at	0.12403178	9.57e-03	4.838897	DCP2	decapping mRNA 2
227267_at	0.12409106	9.58e-03	4.83776	POC5	POC5 centriolar protein
234572_at	0.1245982	9.62e-03	4.832725		
238408_at	0.12469702	9.64e-03	4.831248		
225586_at	0.12472582	9.65e-03	4.829786	DPH7	diphthamide biosynthesis 7
242085_at	0.12472582	9.65e-03	4.829762		
229334_at	0.12505841	9.68e-03	4.826261	RUFY3	RUN and FYVE domain containing 3
240347_at	0.12506	9.69e-03	4.825449		
232066_x_at	0.12506	9.69e-03	4.825013	CTBP1-AS2	CTBP1 antisense RNA 2 (head to head)
239059_at	0.12506791	9.70e-03	4.824328	DNAH1	dynein axonemal heavy chain 1
226757_at	0.12515088	9.71e-03	4.82276	IFIT2	interferon induced protein with tetratricopeptide repeats 2
242870_at	0.12515088	9.72e-03	4.821547		
240583_at	0.12515088	9.73e-03	4.821111	RIOK3	RIO kinase 3
237011_at	0.12515088	9.73e-03	4.820627	LINC01128	long intergenic non-protein coding RNA 1128
233624_at	0.12515088	9.73e-03	4.820533		
226552_at	0.1251729	9.74e-03	4.819728	IER5L	immediate early response 5 like
238285_at	0.125237	9.75e-03	4.81856	SOX5	SRY-box 5
235274_at	0.12526283	9.76e-03	4.817723	GABPB1-AS1	GABPB1 antisense RNA 1
239557_at	0.12551914	9.78e-03	4.814897		
234959_at	0.12554101	9.79e-03	4.814096		
230473_s_at	0.12555301	9.80e-03	4.813379	HMGB4	high mobility group box 4
243271_at	0.12571596	9.83e-03	4.810047		
238999_at	0.12571596	9.83e-03	4.809659		
239775_at	0.12571596	9.83e-03	4.809522	LOC101927609	uncharacterized LOC101927609
222436_s_at	0.12571596	9.84e-03	4.808585	RNF103-CHMP3///CHMP3///RNF103	RNF103-CHMP3 readthrough///charged multivesicular body protein 3///ring finger protein 103
225070_at	0.12571596	9.85e-03	4.807882	NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit
229198_at	0.12571596	9.85e-03	4.807691	USP35	ubiquitin specific peptidase 35
239142_at	0.12571596	9.85e-03	4.807473	RFESD	Rieske Fe-S domain containing
226277_at	0.12571596	9.85e-03	4.807087	COL4A3BP	collagen type IV alpha 3 binding protein
222788_s_at	0.1258914	9.87e-03	4.804969	RSBN1	round spermatid basic protein 1
226359_at	0.12622636	9.91e-03	4.801485	GTPBP1	GTP binding protein 1
232295_at	0.12631158	9.92e-03	4.799743	GFM1	G elongation factor mitochondrial 1
226073_at	0.12631158	9.92e-03	4.799537	TMEM218	transmembrane protein 218
226027_at	0.12648068	9.94e-03	4.797482	SWI5	SWI5 homologous recombination repair protein
228712_at	0.12656622	9.95e-03	4.796142	WNK1	WNK lysine deficient protein kinase 1
226569_s_at	0.12671281	9.97e-03	4.794283	CHTF18	chromosome transmission fidelity factor 18
229545_at	0.12674591	9.98e-03	4.793393	FERMT1	fermitin family member 1
227817_at	0.12681155	9.99e-03	4.792227	PRKCB	protein kinase C beta
234258_at	0.12683487	1.00e-02	4.791421		
240899_at	0.126922	1.00e-02	4.789744		
228638_at	0.126922	1.00e-02	4.788144	FAM76A	family with sequence similarity 76 member A
234284_at	0.126922	1.00e-02	4.788044	GNG8	G protein subunit gamma 8
225332_at	0.126922	1.00e-02	4.787474	OIP5-AS1	OIP5 antisense RNA 1
231646_at	0.126922	1.00e-02	4.787096	DPCR1	diffuse panbronchiolitis critical region 1
224039_at	0.126922	1.00e-02	4.787048	FAM186B	family with sequence similarity 186 member B
230388_s_at	0.12699422	1.00e-02	4.785829	KANSL1-AS1	KANSL1 antisense RNA 1
223903_at	0.12701272	1.01e-02	4.784815	TLR9	toll like receptor 9
244364_at	0.12701272	1.01e-02	4.783453	MYO3A	myosin IIIA
223690_at	0.12701272	1.01e-02	4.783339	LTBP2	latent transforming growth factor beta binding protein 2
224991_at	0.12701272	1.01e-02	4.783259	CMIP	c-Maf inducing protein
238651_at	0.12720546	1.01e-02	4.780898		
228518_at	0.12720546	1.01e-02	4.780415	LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1	uncharacterized LOC102725426///microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)
236742_at	0.12723316	1.01e-02	4.779206		
239313_at	0.12723316	1.01e-02	4.778977	LOC101928623///LOC401320	uncharacterized LOC101928623///uncharacterized LOC401320
225267_at	0.12752978	1.01e-02	4.775858	KPNA4	karyopherin subunit alpha 4
226576_at	0.12757469	1.02e-02	4.774386	ARHGAP26	Rho GTPase activating protein 26
235543_at	0.12757469	1.02e-02	4.774212	LOC102723779	uncharacterized LOC102723779
224892_at	0.12757469	1.02e-02	4.773677	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6
237388_at	0.12765628	1.02e-02	4.772386		
228953_at	0.12775872	1.02e-02	4.770157	WHAMM	WAS protein homolog associated with actin, golgi membranes and microtubules
224283_x_at	0.12775872	1.02e-02	4.769814	IL18BP	interleukin 18 binding protein
243219_x_at	0.12775872	1.02e-02	4.769722	MRPL50	mitochondrial ribosomal protein L50
243613_at	0.12801786	1.02e-02	4.766933	DENND5B	DENN domain containing 5B
243244_at	0.12841257	1.03e-02	4.762425	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4
241788_x_at	0.12841257	1.03e-02	4.762409		
229312_s_at	0.12843658	1.03e-02	4.761309	GKAP1	G kinase anchoring protein 1
242774_at	0.12843658	1.03e-02	4.760978	SYNE2	spectrin repeat containing nuclear envelope protein 2
229350_x_at	0.12843658	1.03e-02	4.760417	PARP10	poly(ADP-ribose) polymerase family member 10
224687_at	0.12845509	1.03e-02	4.759665	ANKIB1	ankyrin repeat and IBR domain containing 1
223173_at	0.12848165	1.03e-02	4.758308	SPNS1	sphingolipid transporter 1 (putative)
227552_at	0.12848165	1.03e-02	4.758251	SEPT1	septin 1
231200_at	0.12873583	1.03e-02	4.755519	LSM14B	LSM family member 14B
222480_at	0.12884165	1.04e-02	4.753782	UBE2Q1	ubiquitin conjugating enzyme E2 Q1
225760_at	0.12884165	1.04e-02	4.753442	MYSM1	Myb like, SWIRM and MPN domains 1
243575_at	0.12946249	1.04e-02	4.747651	MAST4	microtubule associated serine/threonine kinase family member 4
226023_at	0.1296313	1.04e-02	4.745648	MAP2K7	mitogen-activated protein kinase kinase 7
230122_at	0.12987719	1.05e-02	4.741736	MLLT10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10
227638_at	0.12987719	1.05e-02	4.741705	EPG5	ectopic P-granules autophagy protein 5 homolog
235061_at	0.12987719	1.05e-02	4.740085	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K
224189_x_at	0.12987719	1.05e-02	4.740061	EHF	ETS homologous factor
244545_at	0.12987719	1.05e-02	4.739641		
244497_at	0.12987719	1.05e-02	4.739337	PYCARD-AS1	PYCARD antisense RNA 1
226991_at	0.12987719	1.05e-02	4.738747	NFATC2	nuclear factor of activated T-cells 2
234726_s_at	0.12987719	1.05e-02	4.738169	TMEM168	transmembrane protein 168
226856_at	0.12987719	1.05e-02	4.738032	TMEM110-MUSTN1///MUSTN1///TMEM110	TMEM110-MUSTN1 readthrough///musculoskeletal, embryonic nuclear protein 1///transmembrane protein 110
223222_at	0.12987719	1.05e-02	4.736031	SLC25A19	solute carrier family 25 member 19
230004_at	0.12987719	1.05e-02	4.735936	USP24	ubiquitin specific peptidase 24
244040_at	0.12987719	1.05e-02	4.734975	KCNN3	potassium calcium-activated channel subfamily N member 3
225761_at	0.12987719	1.05e-02	4.734939	PAPD4	poly(A) RNA polymerase D4, non-canonical
236347_at	0.12987719	1.05e-02	4.734704	MMAA	methylmalonic aciduria (cobalamin deficiency) cblA type
230923_at	0.12987719	1.05e-02	4.734248	FAM19A1	family with sequence similarity 19 member A1, C-C motif chemokine like
226922_at	0.12987719	1.05e-02	4.734149	RANBP2	RAN binding protein 2
236196_at	0.12988223	1.05e-02	4.733519	ZNF326	zinc finger protein 326
236998_at	0.13021227	1.06e-02	4.730188	COA3	cytochrome c oxidase assembly factor 3
235514_at	0.13029524	1.06e-02	4.728913	ASPRV1	aspartic peptidase, retroviral-like 1
227524_at	0.13049502	1.06e-02	4.72667	FZD3	frizzled class receptor 3
226454_at	0.13064448	1.06e-02	4.724846	MARCH9	membrane associated ring-CH-type finger 9
222698_s_at	0.13066879	1.06e-02	4.724059	IMPACT	impact RWD domain protein
243012_at	0.13072856	1.07e-02	4.722132		
222995_s_at	0.13072856	1.07e-02	4.721974	RHBDD2	rhomboid domain containing 2
238201_at	0.13072856	1.07e-02	4.721808	LOC105376975	uncharacterized LOC105376975
240134_at	0.13109361	1.07e-02	4.717749		
230151_at	0.13109361	1.07e-02	4.717625	SPRYD7	SPRY domain containing 7
243480_at	0.13116213	1.07e-02	4.716476		
239818_x_at	0.13125429	1.07e-02	4.715133	TRIB1	tribbles pseudokinase 1
236460_at	0.13134311	1.07e-02	4.713818		
243549_at	0.13145356	1.08e-02	4.71151		
233723_at	0.13145356	1.08e-02	4.711463		
240486_at	0.13145356	1.08e-02	4.711161	HELZ	helicase with zinc finger
234979_at	0.13145851	1.08e-02	4.710538	BCDIN3D	BCDIN3 domain containing RNA methyltransferase
238071_at	0.13148048	1.08e-02	4.709776	LCN10	lipocalin 10
234022_at	0.13183209	1.08e-02	4.706309		
200043_at	0.13191135	1.08e-02	4.704927	ERH	enhancer of rudimentary homolog (Drosophila)
223187_s_at	0.13191135	1.08e-02	4.704497	ORMDL1	ORMDL sphingolipid biosynthesis regulator 1
224766_at	0.13206995	1.09e-02	4.702618	LOC100506548///RPL37	uncharacterized LOC100506548///ribosomal protein L37
235953_at	0.13221235	1.09e-02	4.700395	ZNF610	zinc finger protein 610
238611_at	0.13221235	1.09e-02	4.700294		
238092_at	0.13229842	1.09e-02	4.699011	LRFN4	leucine rich repeat and fibronectin type III domain containing 4
239893_at	0.13243196	1.09e-02	4.697009		
238650_x_at	0.13243196	1.09e-02	4.696762	WDR89	WD repeat domain 89
225785_at	0.1324722	1.09e-02	4.695856	REEP3	receptor accessory protein 3
235740_at	0.13259921	1.09e-02	4.693711	MCTP1	multiple C2 and transmembrane domain containing 1
231155_at	0.13259921	1.09e-02	4.693548	DEFB119	defensin beta 119
228668_x_at	0.13259921	1.09e-02	4.693086	CCDC71L	coiled-coil domain containing 71-like
224474_x_at	0.13261816	1.10e-02	4.691779	PPP4R3B	protein phosphatase 4 regulatory subunit 3B
225127_at	0.13261816	1.10e-02	4.691777	TMEM181	transmembrane protein 181
224818_at	0.13263325	1.10e-02	4.690578	SORT1	sortilin 1
236559_at	0.13263325	1.10e-02	4.690399	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
224898_at	0.13263325	1.10e-02	4.689924	WDR26	WD repeat domain 26
235915_at	0.1327658	1.10e-02	4.688228		
243183_at	0.1327658	1.10e-02	4.687694		
237854_at	0.13279232	1.10e-02	4.686903		
240972_at	0.13300028	1.10e-02	4.684153		
223457_at	0.13300028	1.10e-02	4.684063	COPG2	coatomer protein complex subunit gamma 2
232580_x_at	0.13330744	1.11e-02	4.680994		
223773_s_at	0.13330744	1.11e-02	4.680053	SNORA16A///SNORA61///SNORA44///SNHG12	small nucleolar RNA, H/ACA box 16A///small nucleolar RNA, H/ACA box 61///small nucleolar RNA, H/ACA box 44///small nucleolar RNA host gene 12
235470_at	0.13330744	1.11e-02	4.679526	LSM8	LSM8 homolog, U6 small nuclear RNA associated
225417_at	0.13330744	1.11e-02	4.679276	EPC1	enhancer of polycomb homolog 1
242638_at	0.13330744	1.11e-02	4.678704	LOC101928731	uncharacterized LOC101928731
233428_at	0.13331408	1.11e-02	4.678077		
225248_at	0.13359324	1.11e-02	4.675148	SPPL2B	signal peptide peptidase like 2B
230864_at	0.13359324	1.11e-02	4.674674	NIM1K	NIM1 serine/threonine protein kinase
238341_at	0.13372596	1.12e-02	4.67303		
242318_at	0.13380526	1.12e-02	4.671818	TAPT1	transmembrane anterior posterior transformation 1
238228_at	0.13381728	1.12e-02	4.671085		
243666_at	0.13381728	1.12e-02	4.670579	CELF4	CUGBP, Elav-like family member 4
225098_at	0.13383013	1.12e-02	4.669905	ABI2	abl-interactor 2
243738_at	0.13384366	1.12e-02	4.669225	NMNAT3	nicotinamide nucleotide adenylyltransferase 3
227747_at	0.13401101	1.12e-02	4.667279	MPZL3	myelin protein zero like 3
243966_at	0.13401101	1.12e-02	4.666736		
239244_at	0.1340783	1.12e-02	4.665255	LOC100507616	uncharacterized LOC100507616
227885_at	0.1340783	1.12e-02	4.665056	FOXN3-AS1	FOXN3 antisense RNA 1
226276_at	0.13409675	1.12e-02	4.664339	TMEM167A	transmembrane protein 167A
230532_at	0.13411767	1.13e-02	4.663104	CXorf38	chromosome X open reading frame 38
241727_x_at	0.13411767	1.13e-02	4.663031	DHFR2	dihydrofolate reductase 2
236624_at	0.13411767	1.13e-02	4.662466	LINC01128	long intergenic non-protein coding RNA 1128
241774_at	0.13435363	1.13e-02	4.659614	PSMA3-AS1	PSMA3 antisense RNA 1
239382_at	0.13435363	1.13e-02	4.659434	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1
225064_at	0.1344377	1.13e-02	4.657679	RABEP1	rabaptin, RAB GTPase binding effector protein 1
233386_at	0.1344377	1.13e-02	4.657625		
232180_at	0.13445008	1.13e-02	4.656959	UGP2	UDP-glucose pyrophosphorylase 2
229307_at	0.13453801	1.13e-02	4.655687	ANKRD28	ankyrin repeat domain 28
223034_s_at	0.13477751	1.14e-02	4.653202	C1orf43	chromosome 1 open reading frame 43
238831_at	0.13496259	1.14e-02	4.651155	TMEM33	transmembrane protein 33
236297_at	0.13500227	1.14e-02	4.649782	PLXDC2	plexin domain containing 2
240761_at	0.13500227	1.14e-02	4.649708		
238927_at	0.13544707	1.14e-02	4.645593		
